srcIata,dstIata, flights ,stage, duration 
DEN,LGA,13,1619,4
BOS,SFO,13,2704,6
LGA,DEN,13,1619,4
NGB,CAN,13,671,1
SFO,BOS,13,2704,6
SBH,SJU,13,211,1
BON,CUR,12,47,1
BOS,LAX,12,2611,6
LAX,BOS,12,2611,6
ORD,PHL,12,678,2
SGN,HPH,12,688,2
SGN,HUI,12,390,1
HPH,SGN,12,688,2
PHL,ORD,12,678,2
LIS,FNC,12,600,1
ATH,LCA,12,579,1
FNC,LIS,12,600,1
SJC,SEA,12,697,2
LCA,ATH,12,579,1
SEA,SJC,12,697,2
CPT,DUR,12,794,2
DUR,CPT,12,794,2
CTS,KIX,12,673,1
KIX,CTS,12,673,1
DEN,IAH,12,861,2
HUI,SGN,12,390,1
IAH,DEN,12,861,2
AUS,ATL,12,813,2
OKA,TPE,12,408,1
TPE,OKA,12,408,1
ATL,AUS,12,813,2
SAN,SEA,12,1050,2
DFW,SAT,12,247,1
SEA,SAN,12,1050,2
SAT,DFW,12,247,1
CBB,VVI,12,201,1
KIX,OKA,12,726,2
OKA,KIX,12,726,2
GIZ,RUH,12,617,1
RUH,GIZ,12,617,1
HER,ATH,12,192,1
MAA,BLR,12,167,1
BLR,MAA,12,167,1
PDX,DEN,12,992,2
DEN,PDX,12,992,2
BNE,TSV,12,690,2
ATH,HER,12,192,1
TSV,BNE,12,690,2
BNA,LGA,12,764,2
LGA,BNA,12,764,2
PHX,SNA,12,338,1
SNA,PHX,12,338,1
LAS,SNA,12,226,1
SNA,LAS,12,226,1
GVA,LHR,12,469,1
LGA,RDU,12,431,1
TFU,SHA,12,1006,2
LHR,GVA,12,469,1
RDU,LGA,12,431,1
SHA,KMG,12,1197,3
